"taxon","n_pairs","median_before","median_after","median_delta","p","p_adj","disease"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__",35,-0.943053689422105,-1.30423427398631,-0.0754584363682467,0.446280775936543,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__",35,3.04772308213368,2.38002713922188,-0.0842913246375785,0.456119993765019,0.957454516686378,"IBS"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum",35,2.80652414199745,2.72422319290979,0.165644115000117,0.476159718264792,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula",35,-1.42628047150585,-1.71770869721642,-0.210228496449109,0.496672629038514,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__",35,-1.61467093136179,-1.77305472616875,-0.260239568729178,0.507103033167524,0.957454516686378,"IBS"
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__D168",35,-1.74147168181907,-1.80272297111971,-0.123461287377858,0.507103033167524,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__formicilis",35,3.18444122954852,2.97122071401773,0.320907402803076,0.507103033167524,0.957454516686378,"IBS"
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__C21_c20",35,-1.69514319127416,-1.45208051911267,0.165644115000117,0.507103033167524,0.957454516686378,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae",35,-1.61467093136179,-1.71770869721642,-0.344409297613635,0.517647380972735,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas;s__",35,-0.766838094143677,-1.30423427398631,-0.123461287377858,0.528304057942349,0.957454516686378,"IBS"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__",35,-0.788797820066861,-0.94933934085745,-0.262946592355671,0.528304057942349,0.957454516686378,"IBS"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__",35,1.41656189365862,2.53391943362747,0.165644115000117,0.528304057942349,0.957454516686378,"IBS"
