"feature","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Snord72",39.3917550091782,0.00386724066999004,0.0242572158315281,0.00823782166048995,0.45885784905263
"Tspan7",1071.2988735621,-0.0165257270842834,0.0324001634843558,0.00823427479399215,0.45885784905263
"Akt1s1",2097.25778899865,-0.0835919308521985,0.0830013274036872,0.00833678840748542,0.460921556114918
"Nlrc5",52.426493691759,-0.00625850502223815,0.024954509336345,0.00834975686544491,0.460921556114918
"Itpripl2",7258.96908363344,0.0881091286678423,0.101324166482758,0.00844800853865315,0.462199933825868
"Pgm2",4795.26531130671,-0.0122634232789738,0.0283007621242549,0.00841466398829735,0.462199933825868
"4930486L24Rik",30.527118615415,0.00556793266177833,0.0247147614711534,0.00866739986170154,0.464249306033747
"Arsj",738.105125204359,0.0133379199411922,0.0291616777789103,0.00864377601118452,0.464249306033747
"Prickle3",192.836641032656,0.0158387598673697,0.031543195069473,0.00859341460234551,0.464249306033747
"Rufy1",1027.43210170251,-0.0860308620668529,0.135569151337641,0.00867403252540714,0.464249306033747
"Sncaip",224.765510501485,0.0155032756008668,0.0311922388476098,0.0085302854884604,0.464249306033747
"Ctsw",58.0060244761368,-0.00558111119565257,0.0247205677340413,0.00879168696251106,0.466467799498449
"Gale",532.640448059142,-0.0156556668039214,0.0313162828863096,0.00886705646487709,0.466467799498449
"Gpm6b",1313.47417086444,0.0114312605881475,0.0276954316427298,0.00877901277752235,0.466467799498449
"Nudt18",799.733731711036,-0.0382180657165342,0.0974274330487697,0.00884562473002872,0.466467799498449
"Sh2d4a",85.6761269249783,-0.00778827332362533,0.025579374941202,0.00908947035029297,0.47613353196641
"Capns1",9556.39135869134,-0.0685231810789721,0.0541988805087169,0.00916638389506317,0.478127905712829
"Apbb1ip",1749.88912430158,0.0168089575726312,0.0328826674902204,0.00936157129457241,0.486248703106272
"Alpk1",770.189043908506,0.0230135287424612,0.0416285585708158,0.00952565669553092,0.488586808008273
"Dkk3",1624.80344762571,0.00963559350939793,0.0265325870450501,0.009491173995168,0.488586808008273
"Sh3d19",7352.1804988988,0.0787544777786512,0.0832716251510831,0.00950060267401249,0.488586808008273
