"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__","Group",0.947450487118908,1,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",2.34882729211087,1.23194063673223
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__helveticus","Group",0.588604424845854,0.95427275402025,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.86982667138309,0.902904541810395
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__","Group",0.65045830588998,0.958903431814005,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.72916666666667,0.790076930625769
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__;__","Group",0.916343805735709,0.990641952146713,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.50769230769231,0.592342031086754
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__","Group",0.189324438057559,0.804580123312264,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",17.3032258064516,4.11296911663024
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter;s__","Group",0.992492392822436,1,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.331941544885177,-1.59099889045183
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__moorei","Group",0.851557280852216,0.990641952146713,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.13157894736842,0.178337241258513
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri","Group",0.527999494024207,0.947408140089187,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.66310160427807,0.733876310242966
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila","Group",0.218691615829316,0.804580123312264,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.5916114790287,0.670488209194587
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus","Group",0.327295471151948,0.877860830773869,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.32543585158695,0.406466848374247
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__","Group",0.576339951887589,0.947408140089187,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.965616045845272,-0.0504784450277938
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__","Group",0.559447221367596,0.947408140089187,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",5.23157894736842,2.38724643323134
